_id,작성자,별점 점수,리뷰내용
658a9837c41002f5926ed0c8,조슈아,2.5,"'레벨 문'의 기원이 사무라이 7명인지 별전쟁인지 굳이 따지는 시간이 아까워. '듄'보다 1, 2부 사이의 공백 기간은 더 짧지만, 기대치도 더 낮다. 그래도 배두나의 영어권 영화 출연작 중에서는 '주피터 어센딩'보다는 확실히 낫다."
658a9837c41002f5926ed0c9,정전,1.0,듄을 기다리며
658a9837c41002f5926ed0ca,왕밤빵,2.0,자뻑으로 엮은 싸다만 스페이스 버전 7인의 사무라이인가;;
658a9837c41002f5926ed0cb,아아,2.0,"입전개를 끼얹어\n척척척 딱딱딱 진행되는 매력없는 이야기,\n뒤에서 힘을 못쓰는 세계관\n\n분위기는 지들끼리는 웅장 ㅜㅜ"
658a9837c41002f5926ed0cc,김호산,보는 중,넷플 탈퇴 할때까지도 ‘보는중’일거 같다
658a9837c41002f5926ed0cd,원상,2.0,이제는 폭발왕 마베형님과 비교하는게 실례같습니다
658a9837c41002f5926ed0ce,BeBe (재미감별사),3.0,차려 놓은 것은 많고 볼거리도 많은데 액션이 너무 후지고 극의 전개가 축축 처져서 긴장감이 떨어짐. 액션의 부족함을 슬로 모션으로 커버하려는 악순환의 반복! 총도 안 쏘고 기다려주는 친절한 적들 ㅎ 기대가 컸나 조금 실망스럽네요~
658a9837c41002f5926ed0cf,전민욱,2.0,제목이나 부제 어딘가에 XXX Parody가 빠진거 아닌가
658a9837c41002f5926ed0d0,강동훈,3.5,마치 필모그래피를 총망라 하듯 모든 장면에서 잭스나이더가 느껴진다.
658a9837c41002f5926ed0d1,한끼밧데리,None,"나는 잭 스나이더가 저스티스리그 시리즈를 계속 만들어줬음 좋겠다.\n히어로물 관심없는 나지만, 잭 스나이더표 히어로물은 취향."
658a9837c41002f5926ed0d2,Vito Wasn,2.5,누가 지몬 혼수 한글 이름 좀 정해줘ㅠㅠ
